08/08-17:00:58.567605 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x363490C1;0x1DC503A2;;0x13D;44;0;11784;1500;225300
08/08-17:00:59.124589 ;1;100000881;1;COMMUNITY WEB-CLIENT ImageMagick SGI ZSIZE Header Information Overflow Attempt;TCP;91.189.91.13;80;10.5.1.104;49303;00:10:18:72:00:3C;68:5B:35:91:F5:61;0x5EA;***A****;0x3635C231;0x1DC503A2;;0x13D;44;0;11839;1500;225300
08/08-17:00:59.186432 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;43006;128.101.240.212;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x11E;***AP***;0x7B2796DA;0x79494CE4;;0x73;64;0;9120;272;16388
08/08-17:00:59.265953 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;43006;128.101.240.212;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x12A;***AP***;0x7B2797B6;0x79494DD4;;0x7B;64;0;9122;284;28676
08/08-17:00:59.280729 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;39621;128.30.2.36;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x11C;***AP***;0xA313997B;0xDBF90B7B;;0x73;64;0;11302;270;14340
08/08-17:00:59.363032 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;43006;128.101.240.212;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x12A;***AP***;0x7B27989E;0x79494EC5;;0x83;64;0;9123;284;28676
08/08-17:00:59.365828 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;39621;128.30.2.36;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x128;***AP***;0xA3139A55;0xDBF90C39;;0x7B;64;0;11304;282;26628
08/08-17:00:59.443102 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;43006;128.101.240.212;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x131;***AP***;0x7B279986;0x79494FB6;;0x8C;64;0;9124;291;35844
08/08-17:00:59.460670 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;39621;128.30.2.36;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x12C;***AP***;0xA3139B3B;0xDBF90CF8;;0x83;64;0;11305;286;30724
08/08-17:00:59.522273 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;43006;128.101.240.212;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x12F;***AP***;0x7B279A75;0x794950A7;;0x94;64;0;9125;289;33796
08/08-17:00:59.547883 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;39621;128.30.2.36;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x128;***AP***;0xA3139C25;0xDBF90DB7;;0x8C;64;0;11306;282;26628
08/08-17:00:59.632793 ;1;2570;7;WEB-MISC Invalid HTTP Version String;TCP;10.5.1.110;39621;128.30.2.36;80;4C:72:B9:24:40:D3;00:10:18:72:00:3C;0x133;***AP***;0xA3139D0B;0xDBF90E77;;0x94;64;0;11307;293;37892
